SENTENCE,R1,R2,R2,LABEL
Comparison of peroperative subconjunctival injection of methylprednisolone and standard postoperative steroid drops after uneventful cataract surgery.  ,0,0,0,0
Clinical Experience of Using a Combination of Dexamethasone and Levofloxacin After Cataract Surgery.  ,-1,-1,-1,-1
Dexamethasone-induced insulin resistance is associated with increased connexin 36 mRNA and protein expression in pancreatic rat islets.  ,-1,-1,-1,-1
Effect of Nintedanib Nanothermoreversible Hydrogel on Neovascularization in an Ocular Alkali Burn Rat Model.  ,-1,-1,-1,-1
Influences of ambient carbon nanotubes on toxic metals accumulation in Daphnia magna.  ,-1,-1,-1,-1
Development of a naringenin microemulsion as a prospective ophthalmic delivery system for the treatment of corneal neovascularization: inÂ vitro and inÂ vivo evaluation.  ,-1,-1,-1,-1
Spinal cord brain-derived neurotrophic factor levels increase after dexamethasone treatment in male rats with chronic inflammation.  ,-1,-1,-1,-1
Coadministration of 5% glucose solution and dexamethasone and oxaliplatin-related vascular pain grade: a case study.  ,-1,-1,-1,-1
Beneficial pharmacological effects of selective glucocorticoid receptor agonist in external eye diseases.  ,0,0,0,0
Dexamethasone treatment does not ameliorate subglottic ischemic injury in rabbits.  ,-1,-1,-1,-1
Effects of dexamethasone and isoflupredone acetate on plasma potassium concentrations and other biochemical measurements in dairy cows in early lactation.  ,-1,-1,-1,-1
Nasturtium officinale R. Br. effectively reduces the skin inflammation induced by croton oil via glucocorticoid receptor-dependent and NF-ÎºB pathways without causing toxicological effects in mice.  ,-1,-1,-1,-1
Anti-inflammatory effect of pregabalin on acetic acid-induced colitis in the rats.  ,-1,-1,-1,-1
